Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Anthony Lamb,San,F,"24,07",2,"3,9",8,11,0,0,0,0,0,2,0,0,0,0,"0,5","6,8",1,"28,9",0,0,0,0,,
Jeremy Lamb,Ind,G-F,"29,71",39,"15,7","32,8","20,2","8,4",80,"0,838",111,"0,414",117,"0,333","0,458","0,524","7,1","2,4","8,5","1,3","11,9","0,59","0,36","0,62","7,2","110,2","109,6"
Jeremy Lamb,Sac,G-F,"29,71",1,"30,7",64,"18,5","7,5",3,1,3,"0,333",8,"0,375","0,5","0,568",14,6,"10,5",5,23,0,2,1,"9,8","122,5","114,7"
Jock Landale,San,C,"26,31",36,"10,2","21,2","18,9","14,1",25,"0,84",72,"0,597",57,"0,351","0,566","0,596","4,6","2,2","11,3","0,9",12,"0,19","0,33","0,64","8,2","117,5","107,2"
Romeo Langford,Bos,G-F,"22,31",44,"16,6","34,5","12,9","7,4",34,"0,588",101,"0,495",83,"0,349","0,508","0,52","4,7","2,4","7,6","0,4","3,7","0,48","0,36","0,36",4,"107,6","104,2"
Zach LaVine,Chi,G-F,"26,94",47,"34,6",72,"29,3","11,9",229,"0,869",515,"0,536",338,"0,399","0,561","0,606","24,6","4,9","7,8","4,5","20,9","0,62","0,38","2,74","9,4","113,4","110,9"
Jake Layman,Min,F,"27,95",23,"7,3","15,3","14,7","11,8",8,"0,75",23,"0,609",26,"0,154","0,408","0,438",2,1,"7,5","0,3","5,6","0,26","0,17","0,3","4,6","89,1","110,9"
Damion Lee,Gol,G-F,"29,32",47,"20,3","42,3",16,"8,6",47,"0,851",145,"0,538",154,"0,37","0,547","0,574","7,8","3,1","8,3","0,9","6,6","0,66","0,11","0,64","5,5","111,1","102,2"
Saben Lee,Det,G,"22,65",28,"14,6","30,3","17,4","15,1",43,"0,767",78,"0,436",44,"0,273","0,426","0,486","4,9","2,4","8,7","2,3","23,8","0,93","0,36","0,89","8,2",102,"109,4"
Alex Len,Sac,C,"28,67",33,"16,9","35,1","16,9","18,6",56,"0,643",136,"0,559",19,"0,316","0,548","0,573","6,2","4,6","14,7","1,2","10,6","0,36","0,76","1,24","7,7","108,6",100
Caris LeVert,Ind,G,"27,48",39,"31,1","64,8",27,"9,9",146,"0,76",433,"0,501",189,"0,323","0,496","0,53","18,7","3,8","6,8","4,4","23,5","0,9","0,46","1,92","8,7","108,7","110,6"
Caris LeVert,Cle,G,"27,48",3,"31,8","66,3","24,8","11,2",4,"0,75",38,"0,421",8,"0,375","0,446","0,461","14,7",2,"3,4","4,3","21,8",2,"0,33",2,"6,3","94,5","104,7"
Kira Lewis Jr.,Nor,G,"20,86",24,"14,2","29,6","22,5","14,7",12,"0,833",88,"0,523",58,"0,224","0,449","0,466","5,9","1,6","6,3",2,"22,7","0,46","0,04","1,08","7,5","94,7","111,6"
Scottie Lewis,Cha,G,"21,93",2,"3,3","6,9","5,6",0,2,"0,5",0,0,0,0,,"0,568","0,5",0,0,"0,5","17,4","0,5",0,0,0,,
Damian Lillard,Por,G,"31,59",29,"36,4","75,9","29,5","11,6",181,"0,878",268,"0,485",284,"0,324","0,486","0,55",24,"4,1","6,2","7,3","33,4","0,59","0,38","2,86","9,8","112,7",116
Nassir Little,Por,F-G,"22,01",42,"25,9",54,"15,9","10,1",94,"0,734",161,"0,584",154,"0,331","0,541","0,575","9,8","5,6","11,9","1,3","7,3","0,6","0,86","0,95","6,4","115,7","109,3"
Isaiah Livers,Det,F,"23,55",1,"4,7","9,8","27,3","33,3",0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,"86,6"
Kevon Looney,Gol,F,"26,03",58,"21,3","44,4",13,"14,6",95,"0,653",272,"0,548",1,0,"0,546","0,572","6,2","7,5","19,1","1,7","11,3","0,6","0,74","0,93","8,1","125,1","93,3"
Brook Lopez,Mil,C,"33,87",1,"28,2","58,8","13,7",0,0,0,5,"0,2",4,"0,5","0,444","0,444",8,5,"9,3",0,0,1,3,0,0,"104,5","102,2"
Robin Lopez,Orl,C,"33,87",27,"17,3",36,20,"16,8",40,"0,575",156,"0,577",5,"0,4","0,578","0,585","7,7","3,6","11,1","1,6",16,"0,04","0,59","1,33","8,2",112,"107,4"
Didi Louzada,Nor,G,20,2,"3,5","7,2","18,8",0,0,0,0,0,3,0,0,0,0,1,16,"0,5",18,0,0,0,0,,
Kevin Love,Cle,F-C,"33,44",49,"22,3","46,4","26,1","9,6",156,"0,853",207,"0,478",309,"0,392","0,544","0,594","14,2","7,3","17,9","2,1","15,5","0,35","0,24","1,27","10,8",118,"100,5"
Kyle Lowry,Mia,G,"35,9",44,"33,9","70,7","18,9","20,6",119,"0,849",186,"0,532",268,"0,34","0,519","0,565",13,"4,5","7,4","8,1","34,6","1,16","0,34","2,98","9,2","113,3","102,9"
Timothe Luwawu-Cabarrot,Atl,G-F,"26,77",35,"12,8","26,6","14,6","8,7",20,"0,85",41,"0,439",87,"0,368","0,516","0,545","4,3","1,4","5,8","0,7","7,8","0,34","0,11","0,37",5,"110,3","107,9"
Trey Lyles,Det,F,"26,28",51,"19,4","40,4","22,3","10,5",176,"0,784",238,"0,55",146,"0,301","0,513","0,576","10,4","4,8","13,2","1,1","9,8","0,43","0,51","1,06","7,8","113,4","106,8"
Theo Maledon,Okc,G,"20,68",30,"13,7","28,5","16,4","16,7",33,"0,848",55,"0,4",60,"0,217","0,361","0,429","3,7","1,6","5,9","1,1",12,"0,4","0,13","0,87","5,5","86,2","106,7"
Sandro Mamukelashvili,Mil,F-C,"22,74",32,"9,5","19,7","13,8","10,3",12,"0,75",43,"0,488",39,"0,385","0,53","0,55",3,"1,8","9,9","0,5","7,3","0,22","0,22","0,31","5,9","118,5","108,3"
Terance Mann,Lac,G-F,"25,33",58,"28,9","60,1","15,6","9,6",106,"0,736",330,"0,545",159,"0,358","0,543","0,568","10,5","5,2","9,4","2,4","12,3","0,67","0,12","0,98",7,"116,3","105,2"
Tre Mann,Okc,G,"21,03",44,"19,7",41,"20,7",9,53,"0,774",190,"0,389",163,"0,362","0,46","0,486","8,3","2,1","5,5",1,"7,8","0,68","0,2","0,84","5,3","95,3","105,3"
Boban Marjanovic,Dal,C,"33,5",17,"5,8",12,"34,3","14,7",16,"0,5",54,"0,648",3,"0,333","0,64","0,632","4,8","1,8","16,8","0,1","4,6",0,"0,12","0,65","6,6","101,6",87
Lauri Markkanen,Cle,F-C,"24,74",38,"30,2","62,9",19,"6,3",73,"0,863",206,"0,539",225,"0,342","0,526","0,557","13,6","5,3","9,6","1,5","7,4","0,76","0,55","0,82","6,3","113,6","103,3"
Naji Marshall,Nor,F,"24,06",32,"9,6","19,9","20,9","16,3",35,"0,857",61,"0,492",47,"0,213","0,417","0,486","3,8","2,1","11,9","0,8","11,7","0,41","0,13","0,75","7,7","95,8","103,3"
Kenyon Martin Jr.,Hou,F,"21,11",53,"19,8","41,2","17,1","9,7",87,"0,644",246,"0,618",97,"0,309","0,574","0,59","8,5","3,9","10,8","1,3","10,5","0,45","0,49","0,77","7,1","117,9","113,6"
Caleb Martin,Mia,F,"26,38",44,"22,9","47,8","16,8","9,1",69,"0,739",202,"0,579",116,"0,379","0,575","0,599","9,5",4,"9,7",1,7,"0,95","0,48","0,8","5,9",119,"103,6"
Cody Martin,Cha,F,"26,38",49,"27,2","56,7","12,5","11,1",82,"0,671",200,"0,48",117,"0,41","0,53","0,554",8,"4,2","8,2","2,6","12,5","1,29","0,51","0,9","6,5",117,"110,5"
Kelan Martin,Ind,F,"26,54",27,"16,4","34,3","18,2","7,5",13,"0,692",94,"0,511",74,"0,297","0,482","0,492","6,3",2,"6,6","0,8",7,"0,48","0,33","0,52","5,3","101,5","110,3"
Garrison Mathews,Hou,G,"25,31",39,"27,5","57,2","15,4","6,4",128,"0,813",54,"0,611",255,"0,373","0,568","0,623","11,7","3,5","6,9",1,"5,3","0,69","0,36","0,64",5,"124,2","110,1"
Dakota Mathias,Mem,G,"26,6",6,"2,7","5,6","15,3",0,0,0,0,0,6,"0,333","0,5","0,5",1,"0,3","6,5","0,2","8,1","0,17",0,0,"5,8",,
Dakota Mathias,Mem,G,"26,6",6,"2,7","5,6","15,3",0,0,0,0,0,6,"0,333","0,5","0,5",1,"0,3","6,5","0,2","8,1","0,17",0,0,"5,8",,
Wesley Matthews,Mil,G,"35,34",29,"19,2","39,9","11,2","7,6",10,"0,6",36,"0,583",94,"0,34","0,531","0,536",5,"1,9","5,1","0,7","4,5","0,45","0,17","0,38","3,9","109,7","105,2"
Tyrese Maxey,Phi,G,"21,28",49,"35,6","74,2","20,4","7,5",157,"0,86",488,"0,502",173,"0,399","0,527","0,57",17,"3,6","5,6","4,7","20,7","0,67","0,53","1,2","7,4","117,7","108,8"
Skylar Mays,Atl,G,"24,45",22,"9,2","19,1","15,8",11,9,"0,889",36,"0,639",25,"0,32","0,574","0,6","3,5","1,1","6,7","0,7","11,3","0,32",0,"0,36","6,1",117,"114,7"
Miles McBride,Nyk,G,"21,44",21,"7,2",15,"18,2","4,8",4,"0,75",27,"0,37",31,"0,161","0,302","0,318","1,8","0,8","5,6","1,1","22,5","0,38","0,05","0,14","6,5","85,8","102,8"
Mac McClung,Chi,G,"23,11",1,"2,6","5,4","33,8",50,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,,
CJ McCollum,Por,G,"30,41",36,"35,2","73,3","26,3","9,2",68,"0,706",376,"0,476",289,"0,384","0,52","0,532","20,5","4,3","6,6","4,5",22,"0,97","0,58","1,94","8,3","107,5","112,5"
CJ McCollum,Nor,G,"30,41",3,"35,1","73,1",28,"11,7",5,"0,8",33,"0,606",25,"0,4","0,603","0,615","24,7","7,3","11,5",5,"27,4",1,0,"2,67",11,"115,3","108,8"
T.J. McConnell,Ind,G,"29,89",24,"24,2","50,4",16,13,15,"0,8",156,"0,538",25,"0,28","0,522","0,536","8,4","3,3","7,6","4,8","29,2","1,04","0,38","1,17","8,4","116,9","109,6"
Jalen McDaniels,Cha,F-C,"24,04",39,"17,6","36,6","15,2","12,1",46,"0,674",111,"0,586",86,"0,372","0,574","0,592","6,6","3,5","10,4","1,1","8,6","0,51","0,41","0,77","6,7","113,4","105,8"
Jaden McDaniels,Min,F,"21,38",54,26,"54,1","14,6","11,2",47,"0,787",230,"0,552",186,"0,306","0,511","0,529","8,6","4,2","8,6","1,1","6,1","0,76","0,67","1,02","5,2","105,6","103,2"
Doug McDermott,San,F,"30,12",42,"24,6","51,2","18,4","7,6",32,"0,75",178,"0,511",221,"0,439","0,593","0,602","11,8","2,5","5,3","1,2","6,8","0,29","0,1","0,81","5,3","112,9","111,3"
JaVale McGee,Pho,C-F,"34,07",50,"16,2","33,8","23,5","15,8",103,"0,68",321,"0,66",6,"0,333","0,657","0,671",10,7,23,"0,7","6,4","0,36","0,98","1,4",9,"122,2","89,4"
Cameron McGriff,Por,F,"24,38",3,"15,3","31,9","14,1",0,2,1,8,"0,375",6,"0,333","0,429","0,47","4,7",5,"17,8",1,"9,3",0,"0,33",0,"7,5","125,4","101,4"
Rodney McGruder,Det,G,"30,55",32,"13,7","28,5","13,7","9,3",14,"0,714",49,"0,531",72,"0,403","0,574","0,586","4,7","1,9","7,6","0,8","9,2","0,41","0,09","0,41","5,6","115,8","110,7"
Alfonzo McKinnie,Chi,F,"29,41",17,"12,1","25,3","15,2","9,8",8,"0,25",34,"0,441",27,"0,333","0,467","0,457","3,5","1,9","8,9","0,3","3,2","0,12","0,18","0,41","4,2","95,5","103,9"
JaQuori McLaughlin,Dal,G,"24,05",4,"2,7","5,7","8,2",0,0,0,1,0,1,0,0,0,0,0,0,"0,5","22,7",0,0,0,0,,
Jordan McLaughlin,Min,G,"25,85",39,"12,4","25,8","12,6","13,8",27,"0,741",71,"0,493",42,"0,214","0,429","0,468",3,"1,3","5,6","2,8",30,"0,74","0,08","0,51","7,2","115,6","111,6"
Ben McLemore,Por,G,"29,01",41,"18,7","38,9","20,3","7,3",37,"0,784",63,"0,46",252,"0,373","0,54","0,557",9,"1,6","4,6","0,9",7,"0,44","0,12","0,63",5,"108,3","111,5"
De'Anthony Melton,Mem,G,"23,72",49,"22,8","47,5","20,7","12,5",75,"0,707",224,"0,429",234,"0,342","0,472","0,494","9,9","4,6","10,5","2,7","16,4","1,63","0,55","1,43","8,7","103,7","102,4"
Sam Merrill,Mem,G,"25,75",6,"9,6","20,1","19,8","7,2",4,"0,5",1,1,23,"0,304","0,479","0,485","4,2","1,2","6,4","0,7","9,2",0,0,"0,33","6,3","102,9",111
Chimezie Metu,Sac,F-C,"24,9",41,"22,3","46,5","18,3","10,7",62,"0,758",183,"0,552",139,"0,281","0,495","0,524","8,9","5,9","14,2","1,1","7,5","0,85","0,56","1,02","6,9","102,2",108
Khris Middleton,Mil,F,"30,51",46,32,"66,6","26,8","15,1",206,"0,883",399,"0,494",290,"0,366","0,517","0,573","19,4","5,6","9,2","5,3","25,7","1,22","0,28","3,02","10,4","110,5","104,2"
CJ Miles,Bos,G,"34,92",1,2,"4,2",0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Paul Millsap,Bro,F,"37,01",24,"11,3","23,4","16,6","10,6",17,"0,706",58,"0,448",27,"0,222","0,412","0,443","3,4","3,7","17,7",1,12,"0,21","0,46","0,46","8,2","105,4","94,2"
Patty Mills,Bro,G,"33,51",56,31,"64,6","17,2","7,8",43,"0,884",190,"0,447",428,"0,418","0,572","0,585","13,3","2,2","3,8","2,6","11,8","0,7","0,27","0,96","5,5",115,"113,5"
Shake Milton,Phi,G-F,"25,39",29,"24,6","51,3","20,6",11,50,"0,86",187,"0,471",81,"0,309","0,468","0,507","10,1",3,"6,8","2,8","17,4","0,69","0,38","1,24","7,1","102,9","105,1"
Davion Mitchell,Sac,G,"23,45",53,26,"54,1","19,9",10,43,"0,558",327,"0,462",230,"0,326","0,473","0,478","10,4","2,4","4,9","3,5","19,7","0,72","0,32","1,21","6,8","100,9","112,5"
Donovan Mitchell,Uta,G,"25,44",45,"33,3","69,4","32,8","11,8",198,"0,874",485,"0,546",425,"0,348","0,535","0,575","25,5","4,2","6,9","5,2","27,2","1,58","0,27","2,96","9,9","113,9","104,6"
Evan Mobley,Cle,C,"20,66",49,34,"70,9",20,"12,7",174,"0,672",518,"0,531",66,"0,273","0,517","0,546","14,7",8,"12,8","2,5","11,5","0,78","1,65","1,96","7,8","107,5","102,1"
Malik Monk,Lal,G,"24,03",51,27,"56,3","19,3","11,5",77,"0,779",228,"0,561",287,"0,401","0,583","0,602",13,"3,3","6,4","2,5","13,6","0,73","0,39","1,39",7,113,"109,7"
Greg Monroe,Min,F-C,"31,7",3,21,"43,8","13,4","19,8",5,"0,4",14,"0,643",0,0,"0,643","0,617","6,7",7,"17,6","3,7","24,6","0,67","1,33","1,33","10,6",124,"100,1"
Greg Monroe,Was,F-C,"31,7",2,"8,8","18,3","25,2",20,0,0,8,"0,5",0,0,"0,5","0,5",4,5,"30,9","0,5","9,5","0,5","0,5",1,"9,8","113,6","100,7"
Greg Monroe,Mil,F-C,"31,7",5,"13,9",29,"17,9","10,4",9,"0,556",22,"0,5",0,0,"0,5","0,52","5,4","4,2","15,9","0,4","4,2","0,6","0,4","0,6",6,"115,2","101,6"
Moses Moody,Gol,G,"19,71",34,"9,5","19,7","15,6","6,1",17,"0,824",39,"0,487",62,"0,306","0,47","0,502","3,2","1,4","7,7","0,3","4,8","0,09","0,18","0,21","4,6","103,6","103,6"
Matt Mooney,Nyk,G,"25,02",1,"1,9",4,"46,2",50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,
Xavier Moon,Lac,G,"27,12",6,"13,9",29,"20,2","7,8",3,"0,667",24,"0,458",10,"0,3","0,456","0,467","5,5","1,5","5,7","1,7","18,4","0,83","0,17","0,5","6,9","98,7","107,7"
Ja Morant,Mem,G,"22,52",45,"33,1","68,9","33,2",13,298,"0,748",707,"0,539",203,"0,335","0,531","0,571","26,4","5,9","9,3","6,8","34,8","1,24","0,38","3,44","12,3","113,9","108,7"
Juwan Morgan,Tor,F,"24,83",1,"27,4","57,1","4,7",0,0,0,1,1,2,"0,5","0,833","0,833",5,4,"7,9",1,"4,8",0,0,0,4,184,"106,9"
Marcus Morris Sr.,Lac,F,"32,46",34,"30,1","62,6",23,"7,9",89,"0,831",271,"0,465",182,"0,379","0,507","0,541","15,7","4,8","8,4","2,2","11,5","0,53","0,26","1,24","7,3","106,6","105,2"
Jaylen Morris,San,G,"26,41",3,"5,3","11,1","23,2","11,4",4,"0,5",4,0,2,0,0,"0,129","0,7","0,7","6,6","0,7","13,9",0,0,"0,33","5,3","39,4","104,4"
Markieff Morris,Mia,F,"32,46",10,"18,7",39,"19,9","14,3",5,1,48,"0,5",22,"0,364","0,514","0,533","7,7","2,8","8,4","1,4","11,6","0,3","0,1","1,2","6,7","104,9",101
Monte Morris,Den,G,"26,64",51,30,"62,5",18,"8,5",51,"0,843",329,"0,541",220,"0,373","0,548","0,564","12,6","2,9","5,4","4,3","21,1","0,69","0,16","1,04","7,2","116,7","111,9"
Emmanuel Mudiay,Sac,G,"25,95",2,"5,5","11,5","18,5",21,4,"0,75",2,0,0,0,0,"0,399","1,5",0,0,2,"43,3","0,5",0,"0,5",0,"100,4","108,8"
Mychal Mulder,Orl,G,"27,68",15,13,"27,1","16,9","10,5",2,1,21,"0,333",46,"0,283","0,396","0,405","3,7","1,4","5,7","0,2","2,2","0,27","0,07","0,53","3,1","75,8","111,8"
Ade Murkey,Sac,G,20,1,"1,5","3,1",0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Trey Murphy III,Nor,F,"21,66",41,"12,7","26,4","14,4",7,28,"0,857",41,"0,341",107,"0,336","0,459","0,499","3,9","2,1","9,3","0,5","5,4","0,29","0,15","0,29",5,"108,8","108,5"
Dejounte Murray,San,G,"25,41",51,"34,4","71,7","26,7","11,2",148,"0,757",707,"0,501",207,"0,319","0,496","0,52",20,"8,3","12,7","9,4","41,2","2,06","0,33","2,43","13,5","112,3","105,7"
Mike Muscala,Okc,F-C,"30,63",43,"13,8","28,7",21,"4,9",57,"0,842",85,"0,506",163,"0,429","0,597","0,63",8,3,"11,1","0,5","6,4","0,42","0,6","0,33","6,6","124,3","101,3"
Svi Mykhailiuk,Tor,G-F,"24,69",43,"15,2","31,7","16,3","11,2",32,"0,844",92,"0,522",115,"0,304","0,486","0,516","5,3","2,1","7,4","0,9","8,7","0,56","0,09","0,65","5,7","105,6","107,7"
Abdel Nader,Pho,F,"28,39",14,"10,4","21,6",15,"21,8",10,"0,6",21,"0,381",14,"0,286","0,4","0,431","2,4","1,9","9,9","0,5","5,9","0,57","0,29","0,79","5,1","78,8","93,1"
Larry Nance Jr.,Por,F-C,"29,12",37,"23,2","48,3","12,5",11,49,"0,653",136,"0,61",62,"0,306","0,563","0,581","6,9","5,6","13,3",2,"12,3","1,03","0,35","0,73","7,3","123,7","107,3"
RJ Nembhard Jr.,Cle,G,"22,9",7,"6,2",13,14,"14,4",2,"0,5",10,"0,5",1,0,"0,455","0,463","1,6","0,3","2,5","1,4","32,3",0,0,"0,29","5,7","108,2","109,4"
Aaron Nesmith,Bos,G-F,"22,34",39,"10,2","21,2","17,4","13,3",16,"0,813",48,"0,604",82,"0,207","0,419","0,445","3,1","1,6","8,6","0,3","4,3","0,31","0,05","0,54","4,5","85,7","96,8"
Raul Neto,Was,G,"29,74",47,20,"41,8","19,2","14,7",79,"0,747",226,"0,535",87,"0,218","0,478","0,515","7,6",2,"5,3","2,7","19,6","0,74","0,02","1,28","6,9","100,7","108,4"
Malik Newman,Cle,G,"24,98",1,"7,7",16,"39,4","14,5",2,1,4,"0,75",1,0,"0,6","0,68",8,1,7,1,30,0,0,1,"10,4","117,8","111,8"
Georges Niang,Phi,F,"28,67",52,"23,1","48,1","17,3","9,5",45,"0,867",145,"0,497",253,"0,395","0,558","0,578","9,3","2,6","6,3","1,5","9,9","0,4","0,17","0,85","5,7","110,7","102,5"
Daishen Nix,Hou,G,"20,01",8,"8,4","17,4","19,2","29,7",3,"0,333",13,"0,769",7,"0,429","0,725","0,704","3,8","1,3","8,2","1,3","24,7","0,88",0,"1,13","8,9","104,4","111,2"
Zeke Nnaji,Den,F-C,"21,1",39,"16,7","34,8","15,2","9,4",62,"0,613",100,"0,58",76,"0,487","0,645","0,652","6,8","3,7","12,3","0,4","3,3","0,31","0,33","0,54","5,2","127,1",102
Nerlens Noel,Nyk,C-F,"27,85",25,"22,5","46,8","7,3","21,5",30,"0,7",57,"0,561",3,0,"0,533","0,581","3,4","5,6","13,4","0,9","5,7","1,2","1,24","0,8","4,6","119,6","98,2"
Jaylen Nowell,Min,G,"22,61",40,"15,1","31,4","21,4","6,8",55,"0,745",167,"0,521",96,"0,365","0,53","0,557",8,2,7,"2,1","21,4","0,58","0,15","0,53","8,5","118,8","108,2"
Frank Ntilikina,Dal,G,"23,55",46,"12,7","26,5","17,2","11,6",24,"0,958",90,"0,422",98,"0,337","0,465","0,499","4,3","1,4","5,9","1,2","13,1","0,52","0,13","0,57","6,1","100,1","101,3"
Jusuf Nurkic,Por,C,"27,48",55,"28,1","58,5","23,6","16,9",258,"0,69",529,"0,558",54,"0,259","0,542","0,581","14,7","11,1","21,6","2,8","16,2","1,11","0,6","2,58",11,"112,1",100
David Nwaba,Hou,G-F,"29,09",36,"13,6","28,3","16,3",9,55,"0,727",110,"0,545",37,"0,27","0,51","0,555","5,3","3,7","15,1","0,8","8,4","0,64","0,5","0,47","7,4","115,4","107,5"
Jordan Nwora,Mil,F,"23,44",44,"19,2","39,9","19,9","10,5",21,"0,762",169,"0,45",171,"0,363","0,497","0,507",8,"3,7","10,2",1,"7,6","0,48","0,3","0,93","6,4","99,5","106,6"
Semi Ojeleye,Mil,F,"27,2",20,"15,4",32,"11,3","6,2",13,"0,769",29,"0,241",41,"0,268","0,336","0,376","2,9","2,9","9,9","0,3","2,1","0,25","0,25","0,25","3,5","96,3","106,1"
Chuma Okeke,Orl,F,"23,5",48,"23,8","49,5","16,5","8,8",43,"0,837",149,"0,49",227,"0,313","0,477","0,5","8,2","4,7","10,4","1,5","9,8","1,44","0,56","0,79","6,5",101,"107,7"
Josh Okogie,Min,G,"23,46",33,"12,4","25,8","11,1","15,7",37,"0,622",39,"0,41",36,"0,278","0,413","0,466","2,6","1,8","7,8","0,5","5,6","0,52","0,3","0,52","4,3","99,8","106,8"
Onyeka Okongwu,Atl,F-C,"21,18",24,"21,7","45,3","14,1","16,6",53,"0,736",117,"0,709",0,0,"0,709","0,73","8,5","5,6",14,"1,1","7,5","0,71","1,42","1,17","6,9","135,5","100,5"
Isaac Okoro,Cle,F-G,"21,06",42,"28,9","60,2","13,7","11,4",99,"0,778",179,"0,559",111,"0,306","0,521","0,568",9,"3,2","5,9","1,8","8,8","0,79","0,33","1,02","5,2","114,5","102,2"
KZ Okpala,Mia,F-G,"22,8",21,"11,6","24,2","14,3","6,3",11,"0,727",43,"0,488",26,"0,346","0,5","0,521","3,7",2,"9,5","0,7","8,3","0,19","0,33","0,24",6,"113,6","101,3"
Cameron Oliver,Atl,F,20,2,"21,7","45,1","16,5",0,3,"0,667",12,"0,75",3,"0,333","0,7","0,705","11,5",3,"7,5","1,5","11,1","0,5","0,5",0,"6,9","149,5","106,5"
Kelly Olynyk,Det,F-C,"30,83",20,"20,1","41,9","24,1","14,1",49,"0,673",103,"0,476",70,"0,271","0,448","0,483","9,4","4,8","12,8","2,9","23,5","0,85","0,55","1,6","10,1",100,"102,3"
Eugene Omoruyi,Dal,F,25,4,"4,5","9,3",17,0,4,"0,5",3,"0,333",2,"0,5","0,5","0,518","1,8","1,8","21,6","0,5","16,1",0,0,0,"10,4","130,8","96,1"
Royce O'Neale,Uta,F,"28,7",53,"31,4","65,3","9,4","12,8",44,"0,795",96,"0,656",198,"0,404","0,622","0,64","7,6","4,9","8,5","2,5","10,4","1,26","0,47","0,87","5,8","128,8",104
Miye Oni,Uta,G-F,"24,54",16,"2,8","5,8","10,3","9,6",1,0,1,1,8,"0,125","0,278","0,265","0,3","0,4","8,6","0,3","14,1",0,0,"0,06","4,7",,
Cedi Osman,Cle,F,"26,86",45,"23,2","48,3","20,7","8,4",86,"0,64",156,"0,526",256,"0,355","0,53","0,547","10,9","2,3","5,4",2,"13,1","0,89","0,18","0,91","6,4","109,3",102
Daniel Oturu,Tor,C,"22,41",3,"9,1",19,"12,9",0,5,"0,6",5,"0,6",1,0,"0,5","0,549",3,"1,7",10,0,0,0,"0,67",0,0,"122,6","112,7"
Kelly Oubre Jr.,Cha,F-G,"26,19",52,"28,4","59,1","23,3","6,4",131,"0,687",290,"0,576",414,"0,343","0,54","0,558","16,3","4,2","7,7","1,2","6,1","1,13","0,4",1,"6,1","109,7","107,8"
Jaysean Paige,Det,G,"27,55",1,"6,6","13,8","25,9",25,0,0,1,0,2,0,0,0,0,1,"8,1",1,"19,6",0,0,1,0,"14,8","85,6"
Trayvon Palmer,Det,G,"27,26",1,"16,8",35,"5,1",50,0,0,1,0,0,0,0,0,0,2,"6,4",0,0,0,0,1,0,0,"107,1"
Kevin Pangos,Cle,G,"29,06",24,"6,9","14,4","14,5","12,8",4,"0,75",20,"0,45",26,"0,231","0,391","0,408","1,6","0,5","3,6","1,3","24,7","0,13",0,"0,29","5,9",99,"105,8"
Jabari Parker,Bos,F,"26,92",12,"9,4","19,5","19,5",16,9,1,22,"0,455",16,"0,5","0,579","0,632","4,4","2,3","13,2","0,5","8,2","0,33","0,08","0,67","7,3","113,3","94,7"
Eric Paschall,Uta,F,"25,28",43,"13,3","27,7","17,7","10,8",66,"0,758",88,"0,591",90,"0,378","0,579","0,618",6,"2,1","8,6","0,6","6,5","0,14","0,09","0,58","5,9","120,8",107
Chris Paul,Pho,G,"36,78",56,"33,2","69,2","19,9","15,4",178,"0,837",472,"0,542",176,"0,335","0,532","0,577",15,"4,5","7,2","10,7","44,2","1,88","0,32","2,36","10,8","123,1","102,3"
Cameron Payne,Pho,G,"27,52",40,"20,4","42,5",26,"14,5",66,"0,864",257,"0,44",134,"0,336","0,462","0,498","10,5","2,8","7,2","3,6","25,1","0,58","0,3","1,78","9,3","99,7","101,1"
Gary Payton II,Gol,G,"29,21",55,"16,4","34,2","14,3","9,1",48,"0,583",159,"0,761",90,"0,367","0,685","0,683","6,7","3,5","11,5","0,8","7,3","1,31","0,31","0,49","6,5","130,9","95,4"
Elfrid Payton,Pho,G,"27,98",36,"11,9","24,8","18,7","19,4",28,"0,393",123,"0,407",14,"0,286","0,409","0,412","3,4",2,"9,1","2,2","23,6","0,53","0,11",1,"8,3","90,5","101,5"
