Nom,TEAM,POS,AGE,GP,MPG,MIN%Minutes Percentage,USG%Usage RateUsage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Bismack Biyombo,Pho,C,"29,47",17,"18,1","37,7","18,4","9,9",51,"0,529",96,"0,615",0,0,"0,615","0,612","8,5","6,4","18,6","0,8","6,4","0,53","0,82","0,76","7,8","127,5","94,6"
Nemanja Bjelica,Gol,F,"33,77",52,"15,3","31,9","19,1","16,9",66,"0,682",141,"0,546",121,"0,339","0,529","0,553","6,2",4,"13,9","1,9","18,1","0,6","0,33","1,13","9,4","108,1","95,6"
Eric Bledsoe,Lac,G,"32,19",54,"25,2","52,5","20,5","18,3",117,"0,761",305,"0,479",163,"0,313","0,475","0,514","9,9","3,4",7,"4,2","24,5","1,28","0,35","2,15","8,3",100,106
Keljin Blevins,Por,G,"26,23",12,"6,1","12,6","17,9","20,1",2,0,9,"0,333",14,"0,429","0,522","0,503",2,"0,7",6,"0,3",8,0,0,"0,5","4,9","86,6","113,8"
Bojan Bogdanovic,Uta,F,"32,83",55,"30,9","64,4","23,5","10,2",206,"0,869",381,"0,528",353,"0,38","0,548","0,596","17,9","4,4","7,8","1,7","8,7","0,47","0,02","1,71","6,6","115,6","108,3"
Bogdan Bogdanovic,Atl,G,"29,49",38,"28,8",60,"19,6","8,2",52,"0,827",175,"0,503",252,"0,369","0,533","0,553","13,1","3,8","7,3","2,9","14,8","0,87","0,18","1,05","7,3",112,110
Bol Bol,Den,C-F,"22,25",13,"6,2","12,9","17,7","12,4",3,"0,667",23,"0,609",4,"0,25","0,574","0,583","2,5","1,5","13,8","0,4","9,3","0,08","0,15","0,31","7,4",110,"108,3"
Leandro Bolmaro,Min,F,"21,43",25,"7,5","15,7","10,7",25,9,"0,889",20,"0,35",12,"0,167","0,313","0,389","1,1","1,4","9,9","0,4","7,3","0,2",0,"0,48","4,5","87,6","105,3"
Isaac Bonga,Tor,G,"22,27",13,"5,1","10,6","11,4","11,3",6,"0,667",9,"0,222",4,"0,25","0,269","0,352","0,8","0,5","5,7","0,2","5,8","0,54","0,15","0,15","3,4","88,8","96,5"
Devin Booker,Pho,G,"25,29",49,"33,9","70,6","32,2","9,2",244,"0,861",667,"0,487",352,"0,369","0,51","0,555","25,5","5,3","8,3","4,4","20,7","0,96","0,33","2,33","9,9","110,1","102,7"
