ID,Nom,Âge,Taille,Poids,Nationalité,Poste,Matchs,E,T,P,D,J,R,Temps,Club
7725,PERCILLIER Will,23,180,84,France,Mêlée,2,,,,,,,20,Paris
7727,SPRING Max,20,173,75,France,Arrière,5,1,,,,,,385,Racing 92
7728,VILLIÈRE Gabin,26,180,93,France,Ailier,6,,,,,,,480,Toulon
7733,ORY Julien,25,180,95,France,3ème ligne,12,,,,,1,,485,Toulon
7735,DAKUWAQA Masivesi,28,190,122,Fidji,Ailier,10,2,,,,,,438,Montpellier
7744,RENAUD Clément,22,186,110,France,Talonneur,9,1,,,,,,134,Biarritz
7749,GUILLARD Mickaël,21,197,108,France,3ème ligne,4,,,,,,,88,Lyon
7763,LANEN Clément,23,195,105,France,3ème ligne,3,,,,,,,140,Clermont
7764,LANEN Thibault,23,198,110,France,2ème ligne,10,,,,,,,552,Clermont
7774,VICI Josua,28,189,107,Fidji,Ailier,4,,,,,,,218,Montpellier
7805,JAMINET Melvyn,22,180,80,France,Arrière,9,,10,28,,,,719,Perpignan
7834,LEBRUN Brendan,24,181,110,France,Talonneur,8,,,,,,,217,Castres
7892,HADDAD Matthias,20,193,99,France,3ème ligne,5,1,,,,,,136,La Rochelle
7940,LACHAISE Jean-Baptiste,20,190,100,France,3ème ligne,1,,,,,,,7,Bordeaux
7946,HUMBERT Brice,25,178,110,France,Talonneur,3,,,,,,,28,Castres
7954,STARK Gavin,26,184,96,Nouvelle-Zélande,Ailier,12,,,,,1,,774,Biarritz
7955,DESSAIGNE Lucas,23,188,102,France,3ème ligne,9,1,,,,1,,240,Clermont
7968,COUILLOUD Barnabé,23,178,83,France,Mêlée,14,2,,,,,,656,Biarritz
7984,TAOFIFENUA Donovan,22,179,84,France,Ailier,14,3,,,,,,1036,Racing 92
8044,BOUDOU Benjamin,19,182,102,France,Talonneur,2,,,,,,,27,Clermont
8100,AZARIASHVILI Luka,22,186,118,Géorgie,Pilier,11,,,,,1,,522,Biarritz
8109,JINTCHARADZE Vakhtang,22,187,116,Géorgie,Pilier,1,,,,,,,39,Perpignan
8140,CRAMONT Guillaume,21,183,100,France,Talonneur,6,1,,,,,,336,Toulouse
8150,ERDOCIO Baptiste,21,173,113,France,Pilier,9,,,,,,,114,Biarritz
8165,DIMCHEFF Pablo,22,182,104,Argentine,Talonneur,3,,,,,,,71,Bordeaux
8219,TIREFORT Valentin,23,186,86,France,Ailier,1,,,,,,,24,Brive
8224,BARRÉ Léo,19,189,89,France,Ouverture,13,,,5,,,,496,Paris
8225,CHEZEAU Jean,20,173,74,France,Ouverture,1,,,,,,,2,Racing 92
8246,DUGUID Tyler,21,196,124,Canada,2ème ligne,2,,,,,,,59,Montpellier
8249,ALONSO Martin,22,182,88,Espagne,Ailier,2,,,,,,,99,La Rochelle
8266,HULLEU Nathanaël,21,178,85,France,Ailier,2,2,,,,,,160,Bordeaux
8287,ÉPÉE Nelson,21,174,74,France,Ailier,1,,,,,,,80,Toulouse
8290,IDJELLIDAINE Théo,20,168,71,France,Mêlée,1,,,,,,,0,Toulouse
8291,AUSSET Paul Arnaud,22,190,100,France,3ème ligne,2,,,,,,,12,Toulouse
8294,BRENNAN Joshua,20,199,114,Irlande,2ème ligne,6,,,,,,,106,Toulouse
8295,YOUYOUTTE Yannick,22,198,120,France,2ème ligne,11,,,,,,,459,Toulouse
8378,LE CORVEC Mattéo,21,192,113,France,3ème ligne,2,,,,,,,43,Toulon
8406,CAROL Thomas,21,179,82,France,Arrière,3,,,,,,,128,Pau
8432,HALAGAHU Matthias,20,194,113,France,2ème ligne,4,,,,,,,124,Toulon
8436,REBBADJ Rayan,22,190,90,France,Ailier,2,,,,,,1,158,Toulon
